congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
118,House,1,2023-01-03,1,2,212,222,0.023,-0.045,0.716,-0.133,-0.352,,Jeffries,,Election of the Speaker,
118,House,2,2023-01-03,1,3,212,222,0.023,-0.045,0.716,-0.133,-0.352,,Jeffries,,Election of the Speaker,
118,House,3,2023-01-03,1,4,212,222,0.023,-0.045,0.716,-0.133,-0.352,,Jeffries,,Election of the Speaker,
118,House,4,2023-01-04,1,5,212,221,0.023,-0.045,0.716,-0.133,-0.352,,Jeffries,,Election of the Speaker,
118,House,5,2023-01-04,1,6,212,221,0.023,-0.045,0.716,-0.133,-0.352,,Jeffries,,Election of the Speaker,
118,House,6,2023-01-04,1,7,212,221,0.023,-0.045,0.716,-0.133,-0.352,,Jeffries,,Election of the Speaker,
118,House,7,2023-01-04,1,8,216,214,-0.208,0.978,-0.563,-0.91,-15.859,,Passed,,On Motion to Adjourn,
118,House,8,2023-01-05,1,9,212,221,0.023,-0.045,0.716,-0.133,-0.352,,Jeffries,,Election of the Speaker,
118,House,9,2023-01-05,1,10,212,221,0.023,-0.045,0.716,-0.133,-0.352,,Jeffries,,Election of the Speaker,
118,House,10,2023-01-05,1,11,212,220,0.023,-0.045,0.716,-0.133,-0.352,,Jeffries,,Election of the Speaker,
118,House,11,2023-01-05,1,12,212,220,0.023,-0.045,0.716,-0.133,-0.352,,Jeffries,,Election of the Speaker,
118,House,12,2023-01-05,1,13,212,220,0.023,-0.045,0.716,-0.133,-0.352,,Jeffries,,Election of the Speaker,
118,House,13,2023-01-05,1,14,219,213,-0.145,0.989,-0.489,-0.523,-7.628,,Passed,,On Motion to Adjourn,
118,House,14,2023-01-06,1,15,213,218,-0.246,0.969,-0.539,-1.036,-24.041,,McCarthy,,Election of the Speaker,
118,House,15,2023-01-06,1,16,214,218,-0.236,0.972,-0.545,-0.995,-20.959,,McCarthy,,Election of the Speaker,
118,House,16,2023-01-06,1,17,220,212,0.023,-0.045,-0.716,0.133,-0.352,,Passed,,On Motion to Adjourn,
118,House,17,2023-01-06,1,18,216,216,-0.216,0.976,-0.546,-0.894,-15.987,,McCarthy,,Election of the Speaker,
118,House,18,2023-01-06,1,19,155,279,-0.007,1.0,-0.218,-0.517,-126.82,,Failed,,On Motion to Adjourn,
118,House,19,2023-01-07,1,20,216,212,0.024,-0.028,-0.716,0.121,-0.348,,McCarthy,,Election of the Speaker,
118,House,20,2023-01-09,1,21,211,205,0.022,-0.057,-0.716,0.141,-0.345,HRES5,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",On Ordering the Previous Question,
118,House,21,2023-01-09,1,22,210,220,0.023,-0.045,0.716,-0.133,-0.352,HRES5,Failed,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",On Motion to Commit,
118,House,22,2023-01-09,1,23,220,213,0.021,-0.355,-0.679,0.617,-7.183,HRES5,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",On Agreeing to the Resolution,
118,House,23,2023-01-09,1,24,208,221,0.022,-0.05,0.716,-0.128,-0.347,HR23,Failed,Family and Small Business Taxpayer Protection Act,On Motion to Recommit,
118,House,24,2023-01-09,1,25,221,210,0.023,-0.045,-0.716,0.133,-0.352,HR23,Passed,Family and Small Business Taxpayer Protection Act,On Passage,
118,House,25,2023-01-10,1,26,365,65,0.023,-1.0,-0.217,-0.803,-84.859,HRES11,Passed,Establishing the Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,On Agreeing to the Resolution,
118,House,26,2023-01-10,1,27,221,211,0.023,-0.045,-0.716,0.133,-0.352,HRES12,Passed,Establishing a Select Subcommittee on the Weaponization of the Federal Government as a select investigative subcommittee of the Committee on the Judiciary,On Agreeing to the Resolution,
118,House,27,2023-01-11,1,28,212,219,0.023,-0.045,0.716,-0.133,-0.352,HR26,Failed,Born-Alive Abortion Survivors Protection Act,On Motion to Recommit,
118,House,28,2023-01-11,1,29,220,210,0.029,-0.248,-0.68,-0.579,-4.135,HR26,Passed,Born-Alive Abortion Survivors Protection Act,On Passage,
118,House,29,2023-01-11,1,30,222,209,0.188,-0.936,-0.665,-0.706,-10.852,HCONRES3,Passed,"Expressing the sense of Congress condemning the recent attacks on pro-life facilities, groups, and churches",On Agreeing to the Resolution,
118,House,30,2023-01-12,1,31,331,97,-0.438,0.167,-0.37,-0.317,-84.383,HR22,Passed,Protecting America’s Strategic Petroleum Reserve from China Act,On Passage,
118,House,31,2023-01-24,1,32,422,2,0.0,0.0,0.0,0.0,0.0,HR159,Passed,Chance to Compete Act of 2023,"On Motion to Suspend the Rules and Pass, as Amended",
118,House,32,2023-01-24,1,33,425,0,0.0,0.0,0.0,0.0,0.0,HR300,Passed,Settlement Agreement Information Database Act of 2023,"On Motion to Suspend the Rules and Pass, as Amended",
118,House,33,2023-01-25,1,34,424,4,0.0,0.0,0.0,0.0,0.0,HR346,Passed,NOTAM Improvement Act,"On Motion to Suspend the Rules and Pass, as Amended",
118,House,34,2023-01-25,1,35,411,13,0.435,-0.9,0.183,-0.769,-25.469,HR400,Passed,Investing in Main Street Act,On Motion to Suspend the Rules and Pass,
118,House,35,2023-01-25,1,36,420,1,0.0,0.0,0.0,0.0,0.0,HCONRES7,Passed,"Commending the bravery, courage, and resolve of the women and men of Iran demonstrating in more than 133 cities and risking their safety to speak out against the Iranian regime’s human rights abuses","On Motion to Suspend the Rules and Agree to the Resolution, as Amended",
118,House,36,2023-01-26,1,37,205,220,0.177,-0.41,0.656,1.246,-15.066,HR21,Failed,,On Agreeing to the Amendment,
118,House,37,2023-01-26,1,38,213,218,0.099,0.09,0.682,0.526,-1.766,HR21,Failed,,On Agreeing to the Amendment,
118,House,38,2023-01-26,1,39,214,219,0.065,0.157,0.507,1.229,-12.786,HR21,Failed,,On Agreeing to the Amendment,
118,House,39,2023-01-26,1,40,214,219,0.193,-0.119,0.53,1.166,-9.613,HR21,Failed,,On Agreeing to the Amendment,
118,House,40,2023-01-26,1,41,389,42,0.58,-0.686,0.165,-0.305,-91.558,HR21,Agreed to,,On Agreeing to the Amendment,
118,House,41,2023-01-26,1,42,14,418,-0.952,-0.306,0.389,1.075,-37.589,HR21,Failed,,On Agreeing to the Amendment,
